,id,agency,allocation,title,brief_summary,ie,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
38,NCT02661438,Bayer,N/A,Summative Usability Study of Ciprofloxacin Dry Powder for Inhalation Using Placebo,"
      The rationale of this study is to conduct a summative (i.e., validation) usability test of
      Ciprofloxacin Dry Powder for Inhalation (DPI) and the associated Instructions for Use.
    ","
        Inclusion Criteria

          -  Subjects (male and female) with non-cystic fibrosis bronchiectasis (NCFB) or chronic
             obstructive pulmonary disease (COPD)

          -  Subjects must be aged ≥40

          -  Subject must be able to independently manage and administer their NCFB/COPD
             medications

        Exclusion Criteria:

          -  Subjects with recent exacerbation

          -  Subjects with recent significant hemoptysis in the four weeks before screening (and/or
             during the screening period)

          -  Subjects allergic to quinine

          -  Known chronic bronchial asthma
      ",Completed,Bayer Study Director,N/A,Interventional,,,"January 12, 2016","March 17, 2016","March 17, 2016",All,40 Years,N/A,1,46
39,NCT02712983,Novartis Pharmaceuticals,Randomized,"Dose-finding Study to Assess the Efficacy, Safety and Tolerability of Tobramycin Inhalation Powder in Patients With Non-Cystic Fibrosis Bronchiectasis and Pulmonary P. Aeruginosa Infection","
      The purpose of this study was to support the selection of a safe and tolerable tobramycin
      inhalation powder (TIP) dose, and regimen that exhibits effective bacterial reduction of P.
      aeruginosa in non-cystic fibrosis bronchiectasis (BE) patients with P. aeruginosa
      colonization.
    ","
        Key Inclusion Criteria:

          -  Written informed consent must be obtained before any assessment is performed.

          -  Male and female patients of ≥ 18 years of age at screening (Visit 1).

          -  Proven diagnosis of non-CF BE as documented by computed tomography or high-resolution
             computed tomography

          -  At least 2 or more exacerbations treated with oral antibiotics OR 1 or more
             exacerbation requiring intravenous antibiotic treatment within 12 months prior to
             screening.

          -  FEV1 ≥ 30% predicted at screening (Visit 1).

          -  P. aeruginosa, must be documented in a respiratory sample at least 1 time within 12
             months and also present in the expectorated sputum culture at Visit 1.

        Key Exclusion Criteria:

          -  Patients with a history of cystic fibrosis.

          -  Patients with a primary diagnosis of bronchial asthma.

          -  Patients with a primary diagnosis of COPD associated with at least a 20 pack year
             smoking history.

          -  Any significant medical condition that is either recently diagnosed or was not stable
             during the last 3 months, other than pulmonary exacerbations, and that in the opinion
             of the investigator makes participation in the trial against the patients' best
             interests.

          -  Clinically significant (in the opinion of the investigator) hearing loss that
             interferes with patients' daily activities (such as normal conversations) or chronic
             tinnitus. Patients with a past history of clinically significant hearing loss in the
             opinion of the investigator may be eligible only if their hearing threshold at
             screening audiometry is 25dB or lower at frequencies 0.5-4 kHz. The use of a hearing
             device is reflective of a clinically significant hearing loss; hence patients using
             hearing aids at screening are not eligible.

          -  Patients with active pulmonary tuberculosis.

          -  Patients currently receiving treatment for nontuberculous mycobacterial (NTM)
             pulmonary disease.

          -  Patients who are regularly receiving inhaled anti-pseudomonal antibiotic (during the
             study inhaled anti-pseudomonal antibiotics are not allowed other than the study drug).
      ",Completed,Novartis Pharma,Phase 2,Interventional,Change From Baseline to Day 29 in Pseudomonas Aeruginosa (P. Aeruginosa) Density in Sputum (log10 CFUs),iBEST-1,"February 8, 2017","March 20, 2019","March 20, 2019",All,18 Years,N/A,9,107
40,NCT02782312,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Salmeterol-Fluticasone Combined Inhaled Therapy for Non-cystic Fibrosis Bronchiectasis,"
      The objective of this study is to assess the efficacy and safety of Salmeterol-Fluticasone
      （ICS and LABA）combined inhaled therapy for non-cystic fibrosis（non-CF）bronchiectasis patients
      with chronic airflow obstruction. Moreover, subgroup analysis is performed to explore which
      populations of bronchiectasis patients this treatment is suitable for.
    ","
        Inclusion Criteria:

          -  stable bronchiectasis; have the ability to complete the pulmonary function tests;
             FEV1/FVC<70%; ≥2 exacerbations within the past year

        Exclusion Criteria:

          -  a cigarette smoking history more than 10 pack-years;cystic fibrosis or traction
             bronchiectasis due to various pulmonary fibrosis; an active pulmonary mycobacterial
             infection; fungal infection; active sarcoidosis; active allergic bronchopulmonary
             aspergillosis (ABPA); asthma as defined by the Global Initiative for Asthma (GINA);
             patients with severe cardiopulmonary dysfunction; with impaired hepatic or kidney
             function; with hypogammaglobulinemia or other autoimmune diseases; pregnant or
             breast-feeding women; or patients with a known intolerance for ICS or LABAs.
      ",Completed,Jin-Fu Xu,Phase 4,Interventional,,,June 2011,June 2013,June 2012,All,18 Years,N/A,2,120
41,NCT02823587,University of Sao Paulo,Randomized,Pulmonary Rehabilitation in Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to assess the effect of pulmonary rehabilitation on the
      transport of secretions, inflammation and respiratory resistance, and its repercussions on
      the quality of life in patients with bronchiectasis.
    ","
        Inclusion Criteria:

          -  clinically stable patients

          -  both sexes

          -  aged between 18-60 years

          -  not due to cystic fibrosis bronchiectasis diagnosis

          -  non smokers

          -  no pulmonary disease

        Exclusion Criteria:

          -  asthma or other restrictive conditions

          -  smokers assets

          -  decompensated cardiovascular and metabolic diseases, neuromuscular or musculoskeletal
             that impede the realization of the Protocol.
      ",Unknown status,"Ada C Gastaldi, PhD",N/A,Interventional,Mucociliary transport in vivo,,July 2016,December 2019,July 2018,All,18 Years,60 Years,4,60
42,NCT02883101,"All India Institute of Medical Sciences, New Delhi",Randomized,The Effects of Pulmonary Rehabilitation in Patients With Non-cystic Fibrosis Bronchiectasis,"
      Number of Patients:

      Study group - Bronchiectasis that is not attributable to Cystic fibrosis

        -  Group 1 - Pulmonary Rehabilitation

        -  Group 2 - Standard care

      Sample size - 20 in each arm

      Study Design:

        -  Randomised controlled trial (RCT)

      All patients who qualify for the study will undergo a detailed evaluation. Baseline
      assessment will include the following parameters:

        -  Anthropometry

        -  Pulmonary Function Tests and Respiratory muscle strength

        -  Cardiopulmonary Exercise Testing (CPET)

        -  Six Minute Walk Test (6MWT)

        -  Severity of dyspnoea (Dyspnoea scale)

        -  Limb muscle strength

        -  Inflammatory markers in the serum - C-reactive protein

        -  Quality of Life

      Patients will then be randomized (using table of random numbers) to either the pulmonary
      rehabilitation group or the standard arm group. After 8 weeks of pulmonary rehabilitation,
      patients will again be reassessed by the aforementioned tools.
    ","
        Inclusion Criteria:

          -  Age ≥ 18 years

          -  Diagnosed bronchiectasis that is not attributable to cystic fibrosis, confirmed
             radiologically on high resolution computed tomography

          -  Exertional dyspnoea (Modified Medical Research Council (mMRC) score ≥ 2 and a history
             of at least two exacerbations in the past year

          -  Willing to give informed consent

        Exclusion Criteria:

          -  Smoking history ≥ 10 pack years or physician diagnosis of chronic obstructive
             pulmonary disease

          -  A clinical diagnosis of asthma

          -  Interstitial lung disease (clinical/radiological diagnosis)

          -  Medical conditions which could place the individual at risk during exercise testing or
             training (eg. angina) or conditions that may restrict the participant's ability to
             exercise (eg. severe orthopaedic or neurologic impairments);

          -  Participation in a PR program within the last 12 months.

          -  Patient having an exacerbation of bronchiectasis
      ",Completed,,N/A,Interventional,Exercise capacity,,June 2015,December 2016,October 2016,All,18 Years,N/A,2,60
43,NCT03056326,Chiesi Farmaceutici S.p.A.,Randomized,"A Study to Investigate Safety, Tolerability and Pharmacokinetics of Single and Repeat Doses of CHF6333 in Healthy Subjects","
      Human Neutrophil Elastase (HNE) plays a pivotal role in innate immunity and in neutrophilic
      lung inflammation that characterized many diseases. CHF 6333 is a potent and 24h-durable
      inhibitor of HNE, developed as Dry Powder Inhaler (DPI) formulation. This study is designed
      to investigate the tolerability, safety and pharmacokinetics of inhaled CHF6333 DPI in
      healthy male subjects.

      The study will comprise two parts:

      Part 1 will consist of two alternated cohorts of healthy male subjects to assess the safety,
      tolerability and pharmacokinetics of Single Ascending Dose (SAD) of CHF6333.

      Part 2 will consist of four sequential cohorts of healthy male subjects to assess the safety,
      tolerability and pharmacokinetics of Multiple Ascending Dose (MAD) of CHF6333
    ","
        Inclusion Criteria:

          -  Male subjects aged 18-55 years

          -  BMI between 18-30 kg/m2

          -  Non smokers

          -  Lung function above 80% of predicted normal value

          -  Healthy subjects based on medical evaluation including medical history, physical
             examination, laboratory tests and cardiac testing

        Exclusion Criteria:

          -  Any clinically relevant abnormalities and/or uncontrolled diseases

          -  Abnormal laboratory values

          -  Recent respiratory tract infection

          -  Hypersensitivity to the drug or excipients

          -  Positive serology results

          -  Positive cotinine, alcohol, drug of abuse tests

          -  Unsuitable veins for repeated venepuncture
      ",Completed,Frédéric Vanhoutte,Phase 1,Interventional,,CHF6333 FIH,November 2016,July 2017,July 2017,Male,18 Years,55 Years,2,72
44,NCT03093974,Zambon SpA,Randomized,Long Term Efficacy and Safety of Inhaled Colistimethate Sodium in Bronchiectasis Subjects With Chronic Pseudomonas Aeruginosa Infection.,"
      The primary objective of the trial is to investigate the effect of the use of inhaled
      colistimethate sodium, administered twice daily via the I-neb for 12 months, compared to
      placebo in subjects with non-cystic fibrosis bronchiectasis (NCFB) chronically infected with
      P. aeruginosa on the frequency of pulmonary exacerbations.
    ","
        Inclusion Criteria:

          1. are able and willing to give informed consent, following a detailed explanation of
             participation in the protocol and signed consent obtained;

          2. aged 18 years or older of either gender;

          3. diagnosed with NCFB by computerised tomography (CT) or high resolution CT (HRCT) as
             recorded in the subject's notes and this is their predominant condition being treated;

          4. had at least 2 NCFB pulmonary exacerbations requiring oral or inhaled antibiotics or 1
             NCFB pulmonary exacerbation requiring intravenous antibiotics in the 12 months
             preceding the Screening Visit (Visit 1) and had no NCFB pulmonary exacerbation with or
             without treatment during the period between Visit 1 and Visit 2;

          5. have a documented history of P. aeruginosa infection ;

          6. are clinically stable and have not required a change in pulmonary treatment for at
             least 30 days before the Screening Visit (Visit 1);

          7. have pre-bronchodilator FEV1 ≥25% of predicted;

          8. had a positive sputum culture for P. aeruginosa from an adequate sample taken at the
             Screening Visit (Visit 1) or during the screening period.

        Exclusion Criteria:

          1. known bronchiectasis as a consequence of cystic fibrosis (CF);

          2. known history of hypogammaglobulinaemia requiring treatment with immunoglobulin,
             unless fully replaced and considered immuno-competent by the Investigator;

          3. myasthenia gravis or porphyria;

          4. severe cardiovascular disease such as severe uncontrolled hypertension, ischaemic
             heart disease or cardiac arrhythmia and any other conditions that would confound the
             evaluation of safety, in the opinion of the Investigator;

          5. had major surgery in the 3 months prior to Screening Visit (Visit 1) or planned
             inpatient major surgery during the study period;

          6. receiving treatment for allergic bronchopulmonary aspergillosis (ABPA);

          7. had massive haemoptysis (greater than or equal to 300 mL or requiring blood
             transfusion) in the preceding 4 weeks before Screening Visit (Visit 1) or between
             Visit 1 and Visit 2;

          8. respiratory failure that would compromise patient safety or confound the evaluation of
             safety or efficacy of the study in the opinion of the Investigator;

          9. current active malignancy, except for basal cell carcinoma or squamous cell carcinoma
             of the skin without metastases;

         10. taking immunosuppressive medications (such as azathioprine, cyclosporine, tacrolimus,
             sirolimus, mycophenolate, rituximab), and/or anti-cytokine medications (such as anti
             IL-6 and anti-tumour alpha necrosis factor products) in the preceding year before the
             Screening Visit (Visit 1);

         11. known history of human immunodeficiency virus (HIV);

         12. current treatment for non-tuberculous mycobacterial (NTM) lung disease or
             tuberculosis;

         13. known or suspected to be allergic or unable to tolerate colistimethate sodium
             (intravenous or inhaled) or other polymixins, including previous evidence of bronchial
             hyperreactivity following inhaled colistimethate sodium;

         14. treatment with long term (≥ 30 days) prednisone at a dose greater than 15 mg a day (or
             equivalent dose of any other corticosteroid) within six months of the Screening Visit
             (Visit 1)

         15. new maintenance treatment with any oral macrolides (e.g.
             azithromycin/erythromycin/clarithromycin) started within 30 days of the Screening
             Visit (Visit 1) and between Visit 1 and Visit 2;

         16. use of any intravenous or intramuscular or oral or inhaled antipseudomonal antibiotic
             (except chronic oral macrolide treatment with a stable dose) within 30 days prior to
             Screening Visit (Visit 1) and between Visit 1 and Visit 2;

         17. pregnant or breast feeding or plan to become pregnant over the next year or of child
             bearing potential and unwilling to use a reliable method of contraception for at least
             one month before randomisation and throughout their involvement in the trial;

         18. significant abnormality in clinical evaluations and/or laboratory tests (physical
             examination, vital signs, haematology, clinical chemistry, clinically relevant
             impaired renal function, defined as serum creatinine levels ≥2.0x upper limit of
             normal, ECG) endangering the safe participation of the patient in the study at the
             Screening Visit (Visit 1) and during the study;

         19. participated in another investigational, interventional trial within 30 days prior to
             the Screening Visit (Visit 1);

         20. in the opinion of the Investigator not suitable for inclusion for whatever reason.
      ",Completed,"Dearbhla Hull, MD",Phase 3,Interventional,Annualized Pulmonary Exacerbation rate,PROMIS-I,"June 6, 2017","April 9, 2021","April 9, 2021",All,18 Years,N/A,2,377
45,NCT03147651,Rambam Health Care Campus,,Exercise Capacity in Patients With Cystic Fibrosis vs. Non-cystic Fibrosis Bronchiectasis,"
      Introduction: Bronchiectasis is a chronic lung disease in which the underlying condition
      causes permanent damage to the conducting airways. Bronchiectasis is associated with
      considerable morbidity and poor quality of life. While cystic fibrosis (CF) is the most
      common cause of bronchiectasis in childhood, non-CF bronchiectasis is associated with a wide
      variety of disorders. CF bronchiectasis patients show reduced daily habitual physical
      activity and exercise capacity. Cardiopulmonary exercise test (CPET) is increasingly gaining
      importance in clinical medicine and considered the gold standard exercise test for assessing
      aerobic exercise capacity. The test objectively evaluates exercise physiological functions,
      may help assess morbidity and predict the outcome and mortality in different clinical
      circumstances and may serve as a basis for individualized exercise prescription within the
      limitation of the disease. Unlike CPET in CF, there is a paucity of data on exercise capacity
      using CPET in non- CF bronchiectasis patients, and on the implications of physical activity
      on non- CF bronchiectasis morbidity and mortality.

      Aim: To evaluate and compare exercise capacity in CF and non-CF bronchiectasis patients.

      Methods: This will be a cross-sectional retrospective/prospective study population. The
      retrospective study will include data analysis of patients that preformed CPET as part of
      their clinical evaluation. In the prospective study, patients that are scheduled to perform
      CPET as part of their clinical evaluation will sign (or legal guardian) informed consent
      prior to participation. Patients will be recruited from the exercise clinic at the Pediatric
      Pulmonary Institute at the Rappaport Children's Hospital. Inclusion criteria: 1. Children and
      adults (age >7 years, height >125cm), with CF and non CF bronchiectasis. 2. Completed a
      maximal CPET test according to accepted criteria; (maximal VO2 > 80% predicted, maximal heart
      rate > 80% predicted, acceptable RER (RER > 1.0 in children (under 18 years), RER > 1.05 for
      adults) or reaching a VO2 plateau..3. Evidence of bronchiectasis in computed tomography (CT).

      Exclusions criteria: preforming submaximal CPET, lack of data from the exercise test,
      exacerbation of patient's condition within three days before the exercise evaluation,
      relevant related chronic diseases that affecting test results.
    ","
        Inclusion Criteria:

          -  Evidence of bronchiectasis on computed tomography (CT)

          -  Age > 7 years

          -  Height > 125cm

          -  Completed a maximal CPET test according to the accepted criteria

        Exclusion Criteria:

          -  Preforming submaximal CPET

          -  Lack of data from the exercise test

          -  Exacerbation of patient's condition within three days before the exercise evaluation

          -  Related chronic diseases affecting test results
      ",Unknown status,"Lea Bentur, Prof.",,Observational,Oxygen Uptake (VO2),,October 2015,December 2017,September 2017,All,7 Years,N/A,,119
46,NCT03218917,Insmed Incorporated,Randomized,Assessment of INS1007 in Subjects With Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of the study is to evaluate if INS1007 can reduce pulmonary exacerbations over a
      24-week treatment period in patients with non-cystic fibrosis bronchiectasis.
    ","
        Inclusion Criteria:

          1. Clinical history consistent with NCFBE (cough, chronic sputum production and/or
             recurrent respiratory infections)

          2. Are current sputum producers with a history of chronic expectoration and able to
             provide a sputum sample during Screening

          3. Have at least 2 documented pulmonary exacerbations in the past 12 months before
             Screening

        Exclusion Criteria:

          1. Have a primary diagnosis of chronic obstructive pulmonary disease (COPD) or asthma

          2. Have bronchiectasis due to cystic fibrosis (CF), hypogammaglobulinemia, common
             variable immunodeficiency, or alpha1-antitrypsin deficiency

          3. Are current smokers

          4. Are currently being treated for a nontuberculous mycobacterial lung infection,
             allergic bronchopulmonary aspergillosis, or tuberculosis

          5. Have any acute infections, (including respiratory infections)
      ",Completed,"Carlos Fernandez, MD",Phase 2,Interventional,Time to first pulmonary exacerbation,,"December 1, 2017","December 12, 2019","December 12, 2019",All,18 Years,85 Years,3,256
47,NCT03428334,The University of Hong Kong,N/A,Roflumilast in Non-CF Bronchiectasis Study,"
      This is a single-arm, open label, Phase II study of Roflumilast in stable-state non-cystic
      fibrosis bronchiectasis subjects.

      Bronchiectasis refers to a suppurative lung condition characterized by pathological
      dilatation of bronchi. The predominant aetiology of bronchiectasis in the Western population
      is related to cystic fibrosis (CF), which is genetically determined. Bronchiectasis due to
      other causes are generally grouped under the term ""non-CF bronchiectasis"", which accounts for
      practically all cases that are seen commonly in Hong Kong and many other Chinese populations.

      The main pathogenesis of non-CF bronchiectasis involves airway inflammation, abnormal mucus
      clearance and bacterial colonization, resulting in progressive airway destruction and
      distortion. The current treatment strategies mainly focus on targeting the key elements in
      the pathogenesis of non-CF bronchiectasis.

      In patients with bronchiectasis, there is also neutrophilic inflammation as in COPD. It is
      hypothesized that roflumilast can improve airway inflammation, sputum volume and sputum
      inflammatory markers in patients with bronchiectasis.

      This study aims to investigate the effect of short-term (4-week) treatment with roflumilast
      on neutrophilic airway inflammation in stable-state non-CF bronchiectasis.
    ","
        Inclusion Criteria:

          1. Aged 18 years or above, male or female.

          2. Never-smokers or those who have smoked less than 100 cigarettes in their lifetime.

          3. Confirmed diagnosis of non-CF bronchiectasis based on high-resolution computed
             tomography (HRCT) scan.

          4. Significant sputum production (≥ 10 ml per day).

          5. In stable-state bronchiectasis with no change in regular medications (e.g. inhaled
             steroid, macrolide) or exacerbations in the past 3 months.

          6. Written informed consent obtained.

        Exclusion Criteria:

          1. Eversmokers (≥ 100 cigarettes in their lifetime).

          2. Known chronic obstructive pulmonary disease or asthma.

          3. Moderate to severe liver impairment (Child-Pugh B or C).

          4. Known psychiatric illness with increased suicidal risks.

          5. Body-mass index below 20 kg/m2.

          6. Concomitant use of strong cytochrome P450 inducers (e.g. rifampicin, phenobarbital,
             carbamazepine, phenytoin).

          7. Patients who are hypersensitive to roflumilast or its constituents.

          8. Pregnant or lactating women.
      ",Completed,"James CM Ho, MD",Phase 2,Interventional,sputum leukocyte density,,"May 10, 2018","August 31, 2019","August 31, 2019",All,18 Years,N/A,1,20
48,NCT03460704,Zambon SpA,Randomized,Trial in Non-cystic Fibrosis Bronchiectasis Patients With Chronic Lung Infections Treated With Colistimethate Sodium (PROMIS II),"
      The primary objective of the trial is to investigate the effect of the use of inhaled
      colistimethate sodium, administered twice daily via the I-neb for 12 months, compared to
      placebo in subjects with non-cystic fibrosis bronchiectasis (NCFB) chronically infected with
      P. aeruginosa on the frequency of pulmonary exacerbations.
    ","
        Inclusion Criteria:

          1. able and willing to give informed consent

          2. aged 18 years or older of either gender

          3. diagnosed with NCFB by computerised tomography (CT) or high-resolution CT(HRCT) as
             recorded in the subject's notes and this is their predominant condition being treated.

          4. had at least 2 NCFB pulmonary exacerbations requiring oral or inhaled antibiotics or 1
             NCFB pulmonary exacerbation requiring intravenous antibiotics in the 12 months
             preceding the Screening Visit (V1) and had no pulmonary exacerbation with or without
             treatment during the period between Visit 1 and Visit 2

          5. have a documented history of P. aeruginosa infection;

          6. are clinically stable and have not required a change in pulmonary treatment for at
             least 30 days before the Screening Visit

          7. have pre-bronchodilator FEV1 ≥25% of predicted

          8. had a positive sputum culture for P. aeruginosa from an adequate sample taken at the
             Screening Visit or during the screening period.

        Exclusion Criteria:

          1. known bronchiectasis as a consequence of cystic fibrosis (CF)

          2. known history of hypogammaglobulinaemia requiring treatment with immunoglobulin,
             unless fully replaced and considered immuno-competent by the Investigator;

          3. myasthenia gravis or porphyria,

          4. severe cardiovascular disease such as severe uncontrolled hypertension, ischaemic
             heart disease or cardiac arrhythmia and any other conditions that would confound the
             evaluation of safety, in the opinion of the Investigator;

          5. had major surgery in the 3 months prior to the Screening Visit (Visit 1) or planned
             inpatient major surgery during the study period;

          6. receiving treatment for ABPA;

          7. massive haemoptysis (greater than or equal to 300 mL or requiring blood transfusion)
             in the preceding 4 weeks before Screening Visit (Visit 1) or between Visit 1 and Visit
             2;

          8. respiratory failure that would compromise patient safety or confound the evaluation of
             safety or efficacy of the study in the opinion of the Investigator;;

          9. current active malignancy, except for basal cell carcinoma or squamous cell carcinoma
             of the skin without metastases;

         10. taking immunosuppressive medications (such as azathioprine, cyclosporine, tacrolimus,
             sirolimus, mycophenolate, rituximab), and/or anti cytokine medications (such as
             anti-IL-6 and anti-tumour alpha necrosis factor products) in the preceding year before
             the Screening Visit (Visit 1);

         11. known history of human immunodeficiency virus (HIV);

         12. current treatment for non-tuberculous mycobacterial (NTM) lung disease or
             tuberculosis;

         13. known or suspected to be allergic or unable to tolerate colistimethate sodium
             (intravenous or inhaled) or other polymixins, including evidence of bronchial
             hyper-reactivity following inhaled colistimethate sodium;

         14. treatment with long term (≥ 30 days) prednisone at a dose of greater than 15 mg a day
             (or equivalent dose of any other corticosteroid) (e.g.
             azithromycin/erythromycin/clarithromycin) started within six months of the Screening
             Visit (Visit 1);

         15. new maintenance treatment with any oral macrolides within 30 days of the Screening
             Visit (Visit 1) or started between Visit 1 and Visit 2;

         16. use of any intravenous or intramuscular or oral or inhaled anti-pseudomonal antibiotic
             (except chronic macrolides with a stable dose) within 30 days prior to the Screening
             Visit (Visit 1) and between Visit 1 and Visit 2;

         17. pregnant or breast-feeding or plan to become pregnant over the next two years or of
             child-bearing potential and unwilling to use a reliable method of contraception for at
             least one month before randomisation and throughout their involvement in the trial;

         18. significant abnormality in clinical evaluations and/or laboratory tests (physical
             examination, vital signs, haematology, clinical chemistry, clinically relevant
             impaired renal function, defined as serum creatinine levels ≥2.0x upper limit of
             normal, ECG) endangering the safe participation of the patient in the study at the
             Screening Visit (Visit 1) and during the study;

         19. participated in another investigational, interventional trial within 30 days prior to
             the Screening Visit (Visit 1);

         20. in the opinion of the Investigator not suitable for inclusion for whatever reason.
      ",Completed,"Dearbhla Hull, MD",Phase 3,Interventional,Annualized Pulmonary Exacerbation rate,,"January 29, 2018","March 15, 2022","March 15, 2022",All,18 Years,90 Years,2,287
49,NCT03818646,Papworth Hospital NHS Foundation Trust,,Functional Respiratory Imaging in Bronchiectasis,"
      Four-week prospective single centre exploratory study in adults with bronchiectasis suffering
      a pulmonary exacerbation (defined as a change in one or more of the following: cough; sputum
      amount; sputum colour; breathlessness; fevers; and malaise).

      The study will recruit ten adult subjects (male and female) who attend the Cambridge Centre
      for Lung Infection (CCLI) at the Royal Papworth Hospital, Cambridge, United Kingdom. The
      study will include individuals with a known diagnosis of bronchiectasis suffering a current
      pulmonary exacerbation. Participants seen during their usual clinic review with an
      exacerbation will be invited to participate and enrolled to commence the study that same day
      (day 0). Participants enrolled will undergo clinical review and a series of standard-of-care
      testing including sputum culture, lung function tests and blood analysis. Additional to these
      standard investigations, participants will also undertake a series of patient reported
      outcomes via validated respiratory questionnaires (Quality of Life - Bronchiectasis - QOL-B;
      & Leicester Cough Questionnaire - LCQ) and functional respiratory imaging (FRI). FRI consists
      of low dose high-resolution CT at full inspiration and expiration, combined with
      computational fluid dynamic testing.

      Participants will be treated without delay according to standard of care treatment as per
      current international guidelines. Participants may be treated as either an inpatient or
      outpatient determined by the treating respiratory physician.

      Follow up will occur on day 7, 14 and 28 post enrolment with serial CT imaging on days 0, 14
      and 28. No scheduled follow up testing will be required beyond the day 28 visit, however all
      participants will receive a follow-up phone call at day 35.

      The investigators hypothesize that changes in FRI parameters will be seen pre and post
      exacerbation treatment and will correlate with changes in lung function and patient reported
      outcomes. This will confirm FRI as a surrogate biomarker for assessing therapeutic response
      in future clinical trials in bronchiectasis.
    ","
        Inclusion Criteria:

          -  Adult male and females ≥18 years and ≤ 80 years

          -  Current diagnosis of bronchiectasis (see above definition)

          -  Current pulmonary exacerbation (see above definition)

        Exclusion Criteria:

          -  Severe obstructive airways disease (defined as FEV1 < 30%; FEV1/FVC < 70%)

          -  Diagnosis of other active chronic lung disease (asthma; ABPA; COPD; pulmonary
             fibrosis)

          -  Currently treated non-tuberculous mycobacterial disease

          -  Acute congestive cardiac failure

          -  Contra-indication or unable to perform HRCT imaging, including pregnancy

          -  Contra-indication or unable to perform pulmonary function testing

          -  Active lung malignancy
      ",Unknown status,"Ian Smith, MD",,Observational,,FRIBE,January 2019,April 2019,April 2019,All,18 Years,80 Years,,10
50,NCT03988816,University of Sao Paulo General Hospital,Randomized,"Effect of Roflumilast on Quality of Life, Lung Function and Mucus Properties in Patients With Bronchiectasis","
      Although relatively common, bronchiectasis is considered an orphan disease as there is little
      evidence for adequate treatment, most of the therapeutic options are extrapolated from
      studies with patients with chronic obstructive pulmonary disease (COPD) or cystic fibrosis
      (CF). Inhaled bronchodilators and corticosteroids should be used as a therapeutic test and
      maintained if there is improvement of symptoms or lung function. There is no evidence to
      justify the use of mucolytic agents for these patients. The treatment with greater evidence
      is the use of macrolides, especially azithromycin. A meta-analysis published in 2014 showed
      that there was a reduction in the number of exacerbations, an improvement in the quality of
      life and a reduction in the decrease in FEV1. However, studies have shown conflicting results
      regarding quality of life and pulmonary function.

      Roflumilast is a phosphodiesterase-4 inhibitor with an anti-inflammatory effect in vitro and
      in vivo due to the inhibition of cyclic adenosine monopostat breakdown (cAMP) to its inactive
      phosphodiesterase form. As this enzyme is expressed in high concentrations in leukocytes and
      other inflammatory cells responsible for the pathogenesis of pulmonary diseases such as COPD,
      it has been studied and used for this disease. COPD is characterized by a chronic
      inflammatory process of the airways, predominantly neutrophils and high levels of
      proinflammatory cytokines related to this cell, such as interleukin-8, neutrophil elastase,
      tumor necrosis factor (TNF) alpha and E-selectin. The REACT study showed that roflumilast
      prevents moderate and severe infectious exacerbations in addition to improved lung function
      in patients with COPD who continue to exacerbate despite the use of combined bronchodilator
      and inhaled corticosteroid therapy.

      Since bronchiectasis and COPD are chronic inflammatory diseases, they present similar
      inflammatory processes, with neutrophil as the main inflammatory cell, it is expected that
      the use of roflumilast also has an anti-inflammatory effect in bronchiectasis. In addition,
      since bronchiectasis is a disease with poor evidence for pharmacological treatment, it is
      necessary to search for new therapeutic possibilities.
    ","
        Inclusion Criteria:

          -  Age > 18 years;

          -  Diagnosis of bronchiectasis by chest tomography;

          -  FEV1 <60% of predicted;

          -  History of chronic bronchitis (chronic cough and sputum for at least 3 months in the
             last 2 years);

          -  2 or more infectious exacerbations in the last year (defined as worsening of cough and
             / or dyspnoea and / or decreased general condition, increased quantity and purulence
             of sputum that required systemic antibiotic use (oral or intravenous).

        Exclusion Criteria:

          -  Hemoptysis in the last 6 months (significance at the discretion of the investigator);

          -  Current or prior smoking if > 10 pack-years;

          -  FEV1 < 30% of predicted;

          -  Known allergy to roflumilast;

          -  Pulmonary exacerbation present or occurring in the last 4 weeks;

          -  Child B or C cirrhosis;

          -  Active cancer (except basal cell carcinoma);

          -  Severe heart failure;

          -  Depression associated with suicidal ideation;

          -  Pregnancy.
      ",Unknown status,"Rodrigo A Athanazio, MD, PhD",Phase 2,Interventional,Quality of life questionnaire,,"December 6, 2019",December 2020,December 2020,All,18 Years,N/A,2,30
